city,sign_change_from_prev_month_Dec 2013,sign_change_from_prev_month_Jan 2014,sign_change_from_prev_month_Feb 2014,sign_change_from_prev_month_Mar 2014,sign_change_from_prev_month_Apr 2014,sign_change_from_prev_month_May 2014,sign_change_from_prev_month_Jun 2014,sign_change_from_prev_month_Jul 2014,sign_change_from_prev_month_Aug 2014,sign_change_from_prev_month_Sep 2014,sign_change_from_prev_month_Oct 2014,sign_change_from_prev_month_Nov 2014,sign_change_from_prev_month_Dec 2014,sign_change_from_prev_month_Jan 2015,sign_change_from_prev_month_Feb 2015,sign_change_from_prev_month_Mar 2015,sign_change_from_prev_month_Apr 2015,sign_change_from_prev_month_May 2015,sign_change_from_prev_month_Jun 2015,sign_change_from_prev_month_Jul 2015,sign_change_from_prev_month_Aug 2015,sign_change_from_prev_month_Sep 2015,sign_change_from_prev_month_Oct 2015,sign_change_from_prev_month_Nov 2015,sign_change_from_prev_month_Dec 2015,sign_change_from_prev_month_Jan 2016,sign_change_from_prev_month_Feb 2016,sign_change_from_prev_month_Mar 2016,sign_change_from_prev_month_Apr 2016,sign_change_from_prev_month_May 2016,sign_change_from_prev_month_Jun 2016,sign_change_from_prev_month_Jul 2016,sign_change_from_prev_month_Aug 2016,sign_change_from_prev_month_Sep 2016,sign_change_from_prev_month_Oct 2016,sign_change_from_prev_month_Nov 2016,spike_Dec 2013,spike_Jan 2014,spike_Feb 2014,spike_Mar 2014,spike_Apr 2014,spike_May 2014,spike_Jun 2014,spike_Jul 2014,spike_Aug 2014,spike_Sep 2014,spike_Oct 2014,spike_Nov 2014,spike_Dec 2014,spike_Jan 2015,spike_Feb 2015,spike_Mar 2015,spike_Apr 2015,spike_May 2015,spike_Jun 2015,spike_Jul 2015,spike_Aug 2015,spike_Sep 2015,spike_Oct 2015,spike_Nov 2015,spike_Dec 2015,spike_Jan 2016,spike_Feb 2016,spike_Mar 2016,spike_Apr 2016,spike_May 2016,spike_Jun 2016,spike_Jul 2016,spike_Aug 2016,spike_Sep 2016,spike_Oct 2016,spike_Nov 2016
Agartala,NA,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,1,-1,-1,-1,NA,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0
Agra,NA,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,NA,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0
Ahmedabad,NA,-1,-1,0,-1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,NA,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
Aizwal,NA,-1,-1,-1,0,0,0,0,1,1,-1,1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,1,0,1,-1,-1,-1,1,1,1,1,0,0,-1,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Amritsar,NA,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,-1,0,0,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,NA,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0
Bathinda,NA,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,NA,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
Bengaluru,NA,-1,-1,-1,0,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,NA,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0
Bhagalpur,NA,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,0,1,NA,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
Bhopal,NA,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,1,NA,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
Bhubaneshwar,NA,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,NA,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1
Chandigarh,NA,-1,-1,-1,0,1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,NA,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1
Chennai,NA,-1,-1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,NA,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Cuttack,NA,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,NA,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
Dehradun,NA,-1,-1,-1,0,0,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,0,NA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
Delhi,NA,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
Dharwad,NA,-1,-1,0,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,-1,-1,NA,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0
Dimapur,NA,-1,0,0,0,0,0,1,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0,NA,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0
Dindigul,NA,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,0,0,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,NA,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
Ernakulam,NA,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,NA,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1
Gurgaon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,0,1,1,1,1,-1,-1,-1,-1,0,0,-1,1,1,-1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
Guwahati,NA,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,NA,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
Gwalior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Hisar,NA,-1,-1,0,-1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,1,NA,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
Hyderabad,NA,-1,-1,1,0,1,1,1,1,-1,-1,1,0,-1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Indore,NA,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,-1,-1,0,NA,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0
Itanagar,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
Jabalpur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
Jaipur,NA,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,NA,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0
Jammu,NA,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,NA,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1
Jodhpur,NA,-1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,NA,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1
Kanpur,NA,-1,0,0,-1,-1,1,1,1,-1,-1,1,1,-1,-1,1,0,0,0,1,1,1,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,0,0,NA,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
