Chandigarh	0	0	0	0	45	24	52	0	0	121	80	85	91	175	140	102	140	128	123	122	149	135	164	76	82	83	90	113	146	99	187	190	79	86	38
Ranchi	0	0	0	0	14	14	7	0	0	8	8	7	5	20	10	18	21	9	16	27	30	21	18	21	10	22	12	19	32	11	22	19	11	21	4
Indore	0	0	0	0	14	20	20	0	0	27	34	22	42	25	38	65	52	30	34	25	49	57	40	43	38	18	39	32	53	58	117	92	64	48	42
Mumbai	0	0	0	0	1602	2207	2479	0	0	2768	2709	2697	2890	3313	4165	4250	4670	4688	4137	4673	4996	6050	5477	5035	4873	4336	4862	4985	5084	5304	4831	4658	4593	4703	2441
Raipur	0	0	0	0	7	4	21	0	0	8	8	6	12	13	11	26	45	62	44	28	16	18	13	11	8	12	23	33	20	14	13	16	13	22	11
Kolkata	0	0	0	0	176	288	242	0	0	491	356	380	531	367	423	612	729	731	647	506	586	966	852	689	878	682	568	579	611	652	572	579	516	604	292
Amritsar	0	0	0	0	7	6	7	0	0	12	12	44	15	7	24	22	10	25	17	11	19	16	15	23	16	25	40	18	16	21	12	11	9	20	19
Bengaluru	0	0	0	0	599	765	1162	0	0	1060	1047	1058	974	1243	1520	2018	1897	1681	1830	1829	1829	2804	2530	2433	2808	1871	2394	2476	2522	2219	2079	2170	2056	2360	1470
Patna	0	0	0	0	1	12	23	0	0	14	22	17	6	22	63	36	19	42	21	40	52	130	48	31	31	30	30	53	22	22	6	21	22	43	12
Itanagar	0	0	0	0	2	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	0	1	1	0	1	1	0	0	1	0	0
Shillong	0	0	0	0	6	1	6	0	0	2	9	6	1	3	2	7	7	8	3	2	8	19	12	10	3	7	21	16	12	15	8	7	12	16	4
Dimapur	0	0	0	0	2	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	6	0	0	1	1	1	0	0	1	0
Mandi	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	17	3	6	3	6	3	0	3	4	3	1	0	33	5	1	3	5	0	0	1
Bhopal	0	0	0	0	15	19	27	0	0	19	20	18	24	111	76	65	148	70	58	37	17	45	37	40	20	25	35	16	54	41	40	28	43	52	29
Agartala	0	0	0	0	2	4	0	0	0	2	0	2	1	2	1	5	0	2	6	1	0	5	1	8	1	0	0	1	0	4	3	7	1	1	1
Puducherry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Rourkela	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Gurgaon	0	0	0	0	150	257	218	0	0	222	269	332	375	428	436	526	620	421	464	639	650	692	512	538	442	406	440	553	707	561	567	560	503	399	331
Chennai	0	0	0	0	48	80	51	0	0	100	76	85	72	82	122	76	98	105	128	118	140	221	380	355	475	270	506	480	388	469	312	304	276	266	151
Ludhiana	0	0	0	0	7	31	17	0	0	30	15	19	17	17	23	42	26	33	67	53	22	54	45	65	42	47	37	27	37	48	36	44	28	21	12
Rajkot	0	0	0	0	12	13	13	0	0	4	6	4	1	25	10	8	12	9	4	8	9	11	8	7	6	6	12	21	15	9	16	4	14	15	10
Jammu	0	0	0	0	30	77	70	0	0	75	33	42	66	64	86	52	90	48	48	60	113	134	52	42	48	16	22	12	6	8	7	10	4	7	13
Shimla	0	0	0	0	6	3	8	0	0	4	1	7	4	5	7	4	7	7	3	8	8	10	8	12	11	15	14	8	8	8	7	5	6	53	6
Delhi	37	16	1	5	564	799	840	777	812	1636	1282	1513	1779	2073	1891	2001	2092	2259	1981	2325	2905	4046	3271	2949	2889	2433	2714	3281	3044	2447	2226	2264	2267	2334	1291
Bhubaneshwar	0	0	0	0	8	8	9	0	0	37	27	27	20	28	61	39	56	41	26	38	26	44	43	33	51	41	68	75	74	47	42	47	72	82	29
Jabalpur	0	0	0	0	1	1	1	0	0	7	4	5	0	1	7	8	6	8	4	6	4	6	3	5	3	1	1	3	2	11	12	3	3	1	1
Jaipur	0	0	0	0	26	36	31	0	0	49	47	46	63	90	83	48	82	96	191	70	121	90	120	101	89	116	131	70	70	81	72	77	86	90	78
Trivandrum	0	0	0	0	12	25	25	0	0	49	43	51	25	33	34	34	54	93	29	19	21	43	36	28	61	29	45	28	101	49	46	75	72	38	32
Srinagar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
Panchkula	0	0	0	0	1	8	10	0	0	18	5	1	10	16	7	8	11	13	12	11	11	12	13	9	2	8	13	12	7	8	15	13	12	33	3
